pos,side
BLB,defense
C,offense
CB,defense
db,defense
DB,defense
DE,defense
DL,defense
DT,defense
END,defense
FS,defense
G,offense
ILB,defense
JLB,defense
LB,defense
LCB,defense
LDE,defense
LDT,defense
LG,offense
LILB,defense
LLB,defense
LOLB,defense
LS,defense
MIKE,defense
MLB,defense
nt,defense
NT,defense
OL,offense
OLB,defense
P,defense
RCB,defense
RDE,defense
RDT,defense
RE,defense
RG,offense
RILB,defense
RLB,defense
ROLB,defense
ROT,offense
RS,defense
RT,offense
RUSH,defense
S,defense
SAM,defense
SLB,defense
SS,defense
T,offense
UT,defense
WILL,defense
WLB,defense
,defense
`,defense
0,defense
0LB,defense
2,defense
33,defense
3CB,defense
63,defense
83,defense
C C,offense
C/G,offense
CB/RS,defense
D,defense
DB/LB,defense
DE D,defense
DE/D,defense
DE/DT,defense
DE/L,defense
DE/LB,defense
DE/NT,defense
DS,defense
DT/D,defense
DT/DE,defense
E,defense
EOLB,defense
F,defense
FB,offense
FB',offense
FB/DL,offense
FB/RB,offense
FB/TE,offense
FL,offense
FSW,defense
G/C,offense
G/OT,offense
G/T,offense
H,offense
H-B,offense
HB,offense
ILBV,defense
ILN,defense
JACK,defense
L,offense
LB/D,defense
LB/DE,defense
LB/FB,defense
LC,defense
LDB,defense
LOT,offense
LT,offense
LWR,offense
M,offense
MCB,defense
MILB,defense
MO,defense
MOLB,defense
NB,defense
NCB,defense
NDB,defense
NE,defense
NG,defense
NLB,defense
OC,offense
OE,offense
OG,offense
OT,offense
OT/G,offense
QB,offense
RB,offense
RB/F,offense
RB/FB,offense
RB/WR,offense
RC,defense
RD,defense
RE R,defense
REC,defense
ROV,defense
RWR,offense
SB,defense
SCB,defense
SE,offense
SILB,defense
SOLB,defense
T/G,offense
TB,offense
te,offense
TE,offense
TE/F,offense
TE/W,offense
TED,defense
TR,offense
WB,offense
WC,offense
WE,defense
WIL,defense
WILB,defense
WOLB,defense
WR,offense
WR W,offense
WR/PR,offense
WR/RS,offense
X,offense
X-WR,offense
XCB,defense
XDB,defense
XR,offense
XS,defense
XTE,offense
XWR,offense
Z,offense
ZR,offense
,defense
87,defense
B,defense
g,defense
SSLB,defense
